學號, 姓名, 國文, 英文, 數學, 歷史, 地理, 總分, 個人平均, 總名次
C10102311, 王粒宏, 94, 96, 71, 97, 94, 452, 90.4 , 1
C10102303, 劉德划, 92, 82, 85, 91, 88, 438, 87.6 , 2
C10102309, 羅志翔, 88, 85, 85, 91, 88, 437, 87.4 , 3
C10102322, 洪斤寶, 91, 84, 72, 74, 95, 416, 83.2 , 4
C10102313, 吳中線, 73, 88, 91, 78, 72, 402, 80.4 , 5
C10102330, 徐弱瑄, 81, 85, 70, 75, 90, 401, 80.2 , 6
C10102304, 梁吵偉, 80, 81, 75, 85, 78, 399, 79.8 , 7
C10102308, 梁泳旗, 78, 74, 90, 74, 78, 394, 78.8 , 8
C10102328, 趙　威, 85, 57, 85, 84, 79, 390, 78.0 , 9
C10102310, 王淨盈, 81, 69, 72, 85, 80, 387, 77.4 , 10
C10102317, 王　飛, 67, 58, 80, 94, 87, 386, 77.2 , 11
C10102320, 范只偉, 73, 75, 71, 79, 85, 383, 76.6 , 12
C10102301, 周杰輪, 72, 70, 68, 81, 90, 381, 76.2 , 13
C10102312, 張會妹, 85, 87, 68, 65, 72, 377, 75.4 , 14
C10102325, 張雪友, 95, 72, 67, 64, 70, 368, 73.6 , 15
C10102316, 孫彥姿, 84, 75, 48, 83, 77, 367, 73.4 , 16
C10102326, 伍越天, 72, 68, 70, 88, 68, 366, 73.2 , 17
C10102323, 成　聾, 69, 80, 64, 68, 80, 361, 72.2 , 18
C10102305, 鄭依鍵, 61, 77, 78, 73, 70, 359, 71.8 , 19
C10102329, 林辛如, 73, 71, 64, 67, 81, 356, 71.2 , 20
C10102302, 蔡一零, 75, 66, 58, 67, 75, 341, 68.2 , 21
C10102324, 楊紙瓊, 88, 90, 52, 57, 52, 339, 67.8 , 22
C10102314, 吳厭祖, 65, 75, 54, 67, 78, 339, 67.8 , 23
C10102306, 林痣玲, 82, 80, 60, 58, 55, 335, 67.0 , 24
C10102319, 李心結, 86, 55, 65, 68, 60, 334, 66.8 , 25
C10102315, 蔡康勇, 79, 68, 68, 58, 54, 327, 65.4 , 26
C10102321, 周星匙, 63, 58, 50, 81, 74, 326, 65.2 , 27
C10102307, 金城舞, 56, 80, 58, 65, 60, 319, 63.8 , 28
C10102327, 王星凌, 66, 45, 57, 74, 69, 311, 62.2 , 29
C10102318, 孫鞋志, 59, 67, 62, 57, 54, 299, 59.8 , 30
